gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS00035	-0.1966340805716147	0.22928057224845164	rest	CSR
PFDSM3638_RS00035	-0.4132024658037601	1.5615031772983132e-5	down	HS1
PFDSM3638_RS00035	-0.3243601520853332	0.0011636469814610305	down	HS2
PFDSM3638_RS00035	-0.3434133708502092	0.0013160226243353072	down	HSR
PFDSM3638_RS00040	0.02411779692835303	0.7478037782595073	rest	CS1
PFDSM3638_RS00040	0.02052097066133385	0.9316912734511094	rest	CS2
PFDSM3638_RS00040	-0.242282467165845	1.688619503377695e-4	down	CS3
PFDSM3638_RS00040	0.07603698556590288	0.5492198482015956	rest	CSR
PFDSM3638_RS00040	0.07796805587222622	0.2116450214632752	rest	HS1
PFDSM3638_RS00040	0.09775754966140404	0.13873706681917136	rest	HS2
PFDSM3638_RS00040	0.05035401062680123	0.5460879259859326	rest	HSR
PFDSM3638_RS00045	0.03821126189927604	0.8101145500249851	rest	CS1
PFDSM3638_RS00045	-0.14779806010023222	0.7838230551028005	rest	CS2
PFDSM3638_RS00045	-0.3318685957835559	0.012008136552475589	down	CS3
PFDSM3638_RS00045	-0.20711144909060053	0.3916742773547197	rest	CSR
PFDSM3638_RS00045	-0.21867970270449888	0.08358649150225873	rest	HS1
PFDSM3638_RS00045	-0.4416513575012244	0.0011027495907668038	down	HS2
PFDSM3638_RS00045	-0.049038673016575274	0.7755213069199958	rest	HSR
PFDSM3638_RS00050	0.22291242359112484	0.06461448156726314	rest	CS1
PFDSM3638_RS00050	-0.02262762384003114	0.9477427887692133	rest	CS2
PFDSM3638_RS00050	0.3760524796690792	0.002296903408999751	up	CS3
PFDSM3638_RS00050	-0.0665802401338631	0.7940191437299197	rest	CSR
PFDSM3638_RS00050	0.09590030360266333	0.4542517389268938	rest	HS1
PFDSM3638_RS00050	-0.002179395211869384	0.9894716006885654	rest	HS2
PFDSM3638_RS00050	0.05384938167597664	0.7301048381733916	rest	HSR
PFDSM3638_RS00055	-0.1251804385396209	0.3640377803406703	rest	CS1
PFDSM3638_RS00055	-0.033414038938786916	0.9374655245145685	rest	CS2
PFDSM3638_RS00055	-0.10061400008650345	0.47789764298119913	rest	CS3
PFDSM3638_RS00055	0.01772662243400802	0.952030301123222	rest	CSR
PFDSM3638_RS00055	-0.24216898551414445	0.0507451814587037	rest	HS1
PFDSM3638_RS00055	-0.3439313830484352	0.00959353207436053	down	HS2
PFDSM3638_RS00055	-0.4027029224154557	0.004792729307580472	down	HSR
PFDSM3638_RS00065	-0.09244546363340422	0.7492129125944554	rest	CS1
PFDSM3638_RS00065	0.15932271331597025	0.9038998493354504	rest	CS2
PFDSM3638_RS00065	-0.02593789669189217	0.9364163721854979	rest	CS3
PFDSM3638_RS00065	-0.4735957411166547	0.26478610369494054	rest	CSR
PFDSM3638_RS00065	-0.19546143862438647	0.44325401323972186	rest	HS1
PFDSM3638_RS00065	-0.10667584243363581	0.7318284828363342	rest	HS2
PFDSM3638_RS00065	0.14760524796145713	0.6472785369960518	rest	HSR
PFDSM3638_RS00070	0.22038319172345844	0.027314426983704992	up	CS1
PFDSM3638_RS00070	-0.18071322980656035	0.5342288351773093	rest	CS2
PFDSM3638_RS00070	0.012655793802766269	0.9252303776529152	rest	CS3
PFDSM3638_RS00070	-0.034604238266565446	0.883205292611262	rest	CSR
PFDSM3638_RS00070	0.034383147662593316	0.7489992691118339	rest	HS1
PFDSM3638_RS00070	-0.03641301779581596	0.7977204499158209	rest	HS2
PFDSM3638_RS00070	-0.42574295383942307	1.8114957086137412e-4	down	HSR
PFDSM3638_RS00100	-0.1888326274267058	0.3773261619353042	rest	CS1
PFDSM3638_RS00100	0.23464211122200762	0.7697019157982267	rest	CS2
PFDSM3638_RS00100	0.2983706873537475	0.14975459422477813	rest	CS3
