gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS06490	-0.34685483473998724	0.02100148981374436	down	CS1
PFDSM3638_RS06495	-0.4815914656739042	8.865618554826278e-4	down	CS1
PFDSM3638_RS06500	-0.594106627798214	9.744005166568537e-6	down	CS1
PFDSM3638_RS06505	-0.047389012205126584	0.779443443953453	not significant	CS1
PFDSM3638_RS06510	-0.0925337155571845	0.6822198805036266	not significant	CS1
PFDSM3638_RS06515	-0.04309987600581778	0.7898881069372821	not significant	CS1
PFDSM3638_RS06520	-0.5697820256153286	0.0490403959375406	down	CS1
PFDSM3638_RS06525	-0.49937730049048695	0.03249035184198466	down	CS1
PFDSM3638_RS06530	-0.11204280212205169	0.38448540174911144	not significant	CS1
PFDSM3638_RS06535	-0.04795625916896755	0.7586647709917094	not significant	CS1
PFDSM3638_RS06540	0.13071359883421696	0.4038026748110707	not significant	CS1
PFDSM3638_RS06545	1.0939874172887738	5.148071272840628e-12	up	CS1
PFDSM3638_RS06550	-0.0818701359995285	0.7583503613053977	not significant	CS1
PFDSM3638_RS06555	0.18218153532167242	0.5162981985189001	not significant	CS1
PFDSM3638_RS06560	0.1284952440141588	0.45834311187082527	not significant	CS1
PFDSM3638_RS06565	0.03351034032120522	0.9145386192115529	not significant	CS1
PFDSM3638_RS06570	0.6116385019659353	0.0192065590490665	up	CS1
PFDSM3638_RS06575	0.41736224397810584	0.03264172845933819	up	CS1
PFDSM3638_RS06580	0.4567238215636071	0.0707872319890708	not significant	CS1
PFDSM3638_RS06585	0.11588206471522368	0.6456646559211104	not significant	CS1
PFDSM3638_RS06590	0.4258723934430593	0.004038555070658253	up	CS1
PFDSM3638_RS06610	0.3417904003978569	0.1358068517904225	not significant	CS1
PFDSM3638_RS06615	0.03203338723501065	0.9085170239937437	not significant	CS1
PFDSM3638_RS06620	-0.1692168944935627	0.24844524623777656	not significant	CS1
PFDSM3638_RS06625	-0.6000149877233566	4.7380188496877826e-5	down	CS1
PFDSM3638_RS06630	-0.23179996967393118	0.08928977543214178	not significant	CS1
PFDSM3638_RS06635	-0.5704584024557106	2.3662377366241e-5	down	CS1
PFDSM3638_RS06640	-1.0150555143357152	3.355716936735234e-5	down	CS1
PFDSM3638_RS06645	-0.12895826083605505	0.39198170964629747	not significant	CS1
PFDSM3638_RS06650	-0.4576378219172023	0.04646882056563362	down	CS1
PFDSM3638_RS06655	-0.7099003926869648	0.0018237831060478418	down	CS1
PFDSM3638_RS06660	-0.44024360749393227	0.05616868873652255	not significant	CS1
PFDSM3638_RS06665	-0.7446091070932227	1.3888161751419124e-6	down	CS1
PFDSM3638_RS06670	0.6657219273936705	4.111567885349638e-6	up	CS1
PFDSM3638_RS06675	1.190413171822985	6.356883000039321e-11	up	CS1
PFDSM3638_RS06680	1.125768231199168	3.895012644237339e-8	up	CS1
PFDSM3638_RS06685	1.2794544125201825	8.471510257726942e-7	up	CS1
PFDSM3638_RS06690	1.4197161484349974	8.795710955338642e-6	up	CS1
PFDSM3638_RS06695	1.274685891964078	3.96676056339264e-9	up	CS1
PFDSM3638_RS06700	0.33086586055567774	0.065668095897	not significant	CS1
PFDSM3638_RS06705	0.4810108679385629	0.00505544371300761	up	CS1
PFDSM3638_RS06710	-0.07834309754513157	0.7033408091639192	not significant	CS1
PFDSM3638_RS06715	-0.6943259394448453	6.479275063182568e-4	down	CS1
PFDSM3638_RS06720	-0.5572787993856194	0.011085868585713757	down	CS1
PFDSM3638_RS06725	-0.5776033673066526	0.003128018069544115	down	CS1
PFDSM3638_RS06730	-0.936717254734783	2.0957642811074155e-4	down	CS1
PFDSM3638_RS06735	-1.1798333909092285	2.7969766979671e-8	down	CS1
PFDSM3638_RS06740	-0.6935244647804107	0.013203545164697801	down	CS1
PFDSM3638_RS06745	-1.249791886436372	1.303028192155592e-4	down	CS1
PFDSM3638_RS06750	-0.3717961735073665	0.09344999902268976	not significant	CS1
PFDSM3638_RS06755	-0.21220473069998555	0.25485929006520647	not significant	CS1
PFDSM3638_RS06760	-0.1662054546032203	0.3976554361192947	not significant	CS1
PFDSM3638_RS06765	0.59555556878863	0.025145812093138646	up	CS1
PFDSM3638_RS06770	0.967257566785382	2.8311335799163294e-5	up	CS1
PFDSM3638_RS06775	-0.2121623501215049	0.21493648970074034	not significant	CS1
PFDSM3638_RS06780	0.23384926717606755	0.07927124900871149	not significant	CS1
PFDSM3638_RS06785	0.05408548929586964	0.7173556493575995	not significant	CS1
PFDSM3638_RS06790	0.019365061321195448	0.9023842167041289	not significant	CS1
PFDSM3638_RS06795	-0.4204505932759885	0.052547152274212874	not significant	CS1
PFDSM3638_RS06800	-0.7855467777506966	0.0014752672317254849	down	CS1
PFDSM3638_RS06805	-0.3239059839093412	0.13181813304579582	not significant	CS1
