gene	CS-PFU-001	CS-PFU-002	CS-PFU-003	CS-PFU-004	CS-PFU-010	CS-PFU-011	CS-PFU-012	CS-PFU-013	CS-PFU-014	CS-PFU-016	CS-PFU-017	CS-PFU-018	CS-PFU-019	CS-PFU-020	CS-PFU-021	CS-PFU-024	CS-PFU-027	CS-PFU-028	CS-PFU-029	CS-PFU-030	HS-PFU-001	HS-PFU-002	HS-PFU-003	HS-PFU-004	HS-PFU-005	HS-PFU-006	HS-PFU-007	HS-PFU-009	HS-PFU-010	HS-PFU-011	HS-PFU-012	HS-PFU-018
PFDSM3638_RS01435	206.74826291017928	229.65334071128677	159.9950212338841	196.48429394685158	254.75233957510767	265.7969837100849	248.465783561906	200.48698139017537	206.15102800295364	191.72438723543476	175.0275796324065	312.1100950078165	276.96051446100495	317.1742501876287	368.85122706724786	337.10909415902546	283.9140501364554	277.6086699190225	317.37401753507135	341.699451625149	524.1901979106374	427.1278098782884	336.44674875636093	379.0218534863905	336.924906720932	384.7956169065744	418.06671989500666	215.58138472949375	347.2544475674076	382.17058858782474	196.02189297085587	298.764508839112
PFDSM3638_RS01440	279.8775611447842	368.7012618450737	291.29528322473465	360.80080525638675	352.08079751534115	401.93690219573807	339.67474208463096	329.50406663663085	280.9004465536429	295.85895289122925	283.0982999423488	415.60774309331003	456.39972101320535	458.9338025222923	516.391717894147	343.8919733171548	427.33454968992254	473.38493340669135	441.7718736543455	546.7191226002384	407.23378278541446	414.1543016343217	396.2813017421861	389.35881312692845	360.62298884503423	431.2917539494522	387.06401931852304	454.80107918809864	544.3697042767584	603.6441102761868	456.03020696328645	521.3340422695915
PFDSM3638_RS01445	138.13311888758702	183.00500587930665	149.56056332732643	188.65969817020707	378.8624537270832	369.5226358896302	345.1787309610023	176.35428918580243	143.2041492234258	156.68845860357865	167.97948917741027	401.8619617069554	386.18437931886604	369.1867478068218	761.414318731676	390.6938395082468	367.8199206235178	332.5088919552471	360.43481388405087	371.48863458734144	539.6904456983175	597.7793413950812	509.08414753513506	600.6922102223705	544.0255374576516	531.4989458522059	353.2428914169045	473.7117269713876	559.1072935634388	530.5063426488673	543.3767499451186	627.6059816553159
PFDSM3638_RS01450	4308.308779944871	3980.3588778749195	3868.5752688562516	4163.55435270563	3339.2152818152576	3534.7757406810674	3690.8176836695784	4451.553531237412	4810.715210725414	4868.04763934845	4540.144934760075	4202.974802721839	3899.8771032730942	3192.1395597661667	3377.6233792872267	4746.658834858874	4698.728747275495	4602.295971829168	4731.903065460084	4640.10332258151	6504.467617084682	8715.203653427787	8046.276035126614	8400.502534543819	7718.362312680432	6252.928774731834	6049.28451551449	4429.819243235431	4636.81402932183	4450.072621831275	4352.0922869436135	8468.670490483151
PFDSM3638_RS01455	2555.011283999159	2256.164655815962	2252.9733696575745	2328.2519433171174	1653.930573856853	1828.164619664486	1736.9016325577543	2511.656350193586	2745.270750772157	2750.3203976007035	2512.644247206158	1993.9468763970865	1725.1519369067526	1553.235958314336	2221.011317269214	2072.1695828084967	2230.335115504938	2249.873250239242	2223.2129670547206	2141.3165635176	2870.3640675913125	4968.853657439248	4871.121149632911	4572.381814331275	3746.3576784015554	2788.1649075022206	2660.5953949273235	2152.977250127444	2114.844062638642	2034.4660713233259	2023.1896932536004	5724.648810306476
PFDSM3638_RS01460	16492.010998167007	19011.887694118363	18302.039168102132	17188.028722695824	12689.93256647594	14007.01482752688	12439.014860599218	15601.78551012712	16348.091255028121	17851.778858170455	14669.425600332164	15786.625634540438	13134.169749157798	14437.037574456823	22960.988884936178	12156.276027199305	15408.43503025787	16677.23726006068	15280.203326650846	17195.367788705575	6372.010954171779	5151.480735027395	4289.450823065791	5105.309511354563	11849.041062051125	13086.257604964418	11674.865456483703	23585.359915317946	21202.78548688105	23204.244416521135	20249.163109637066	3106.9503788335846
PFDSM3638_RS01465	354.81252106419413	357.9362614992321	332.1635766920854	360.80080525638675	1264.616742095919	1122.3439708489864	1055.9795801381006	341.5704127388173	348.5683412416353	349.3860660787872	471.0473787422484	601.5800794969313	602.6816828764122	440.57645042140064	816.7420027917631	1278.5727213073703	719.0537970809884	618.4043878420016	669.8346098730149	613.3067080451392	1063.8806436089549	1502.9310319549122	1483.1121985994687	1735.4606685392002	1096.293886088904	897.0547819134516	1075.6997624264777	667.5458667500991	635.5585379880936	618.0656419210104	720.1011508618487	2805.1781735967634
PFDSM3638_RS01470	983.1827873763547	941.0404468989836	934.7535207957902	1188.4691585192306	2222.224254447478	2021.029504185828	2063.209544514055	1111.0320218705554	1156.6488975738237	1271.0256331445573	1114.7729736319045	1727.1170024266735	1713.449379957696	1239.1212668101894	3085.1770492553374	1625.8561342035896	1617.6271310180173	1058.642017377765	1435.3598782993174	1587.588221396846	1359.794465010121	1451.0369989790454	1455.6471578846638	1498.8591478779988	3148.753868315499	2343.244975453994	2349.628913387442	1975.2171609645281	2197.743002376219	2125.115698805074	1993.7356264341454	937.3987106193615
PFDSM3638_RS01475	3121.989053027947	2715.4713372385354	2990.341728387649	3251.5542449611726	4462.738420454194	3995.0583222277996	4296.256460070425	3473.2513164909087	3450.2757931028686	3742.031821930186	2888.542404805957	3923.20772274074	3846.2403839232516	3208.45720607807	6692.0151196486395	3771.9590998356957	4111.387653866059	2726.365743383833	3538.9595221624286	3904.135272927343	3405.827172983899	4115.595999855284	3534.1622034086545	3864.8743544900126	6159.440649473185	4627.968950836779	4264.280542929068	4420.363919343787	4802.6119087969855	4780.7377402590155	4097.162260333847	3011.706659572794
PFDSM3638_RS01480	1399.3878057239208	1481.9817142775225	1444.302881899356	1543.1841670604495	1508.2644925100606	1312.7777853973703	1350.8361270865648	1344.0053196896943	1669.6659596269756	1544.5005205209895	1382.6004109217615	1808.7831153691334	1695.8955445341112	1553.235958314336	1557.0791085481676	1052.0245574258522	1868.3690928223782	1554.8157221957192	1872.3472190259986	1948.5630267034137	1972.7588093411082	2316.270202634363	2138.349598509816	2178.80138201116	1517.707607339244	1621.753193754167	1625.2930908277788	1711.4136243876478	2171.9522211245285	2186.922262997175	1633.1772222649545	2263.7928220091108
